,연도,시도,행정구역,코드,학제,date.x,성별,학생수,인구수_2년전_4세,인구수_1년전_5세,4세대비5세변동치,5세대비1학년변동치,4세대비1학년변동치,4세대비5세변동률,5세대비1학년변동률,4세대비1학년변동률
3539,2019,서울,강동구,1174000000,초등학교,2019-04-01,여자,1581,1736,1640,-96,-59,-155,-0.055299539,-0.03597561,-0.089285714
3540,2019,서울,강동구,1174000000,초등학교,2019-04-01,남자,1711,1880,1801,-79,-90,-169,-0.042021277,-0.049972238,-0.089893617
3541,2019,부산,중구,2611000000,초등학교,2019-04-01,전체,229,206,181,-25,48,23,-0.121359223,0.26519337,0.111650485
3542,2019,부산,중구,2611000000,초등학교,2019-04-01,여자,104,105,93,-12,11,-1,-0.114285714,0.11827957,-0.00952381
3543,2019,부산,중구,2611000000,초등학교,2019-04-01,남자,125,101,88,-13,37,24,-0.128712871,0.420454545,0.237623762
3544,2019,부산,서구,2614000000,초등학교,2019-04-01,전체,655,596,621,25,34,59,0.041946309,0.054750403,0.098993289
3545,2019,부산,서구,2614000000,초등학교,2019-04-01,여자,319,273,277,4,42,46,0.014652015,0.151624549,0.168498168
3546,2019,부산,서구,2614000000,초등학교,2019-04-01,남자,336,323,344,21,-8,13,0.06501548,-0.023255814,0.040247678
3547,2019,부산,동구,2617000000,초등학교,2019-04-01,전체,404,456,435,-21,-31,-52,-0.046052632,-0.071264368,-0.114035088
3548,2019,부산,동구,2617000000,초등학교,2019-04-01,여자,198,217,204,-13,-6,-19,-0.059907834,-0.029411765,-0.087557604
3549,2019,부산,동구,2617000000,초등학교,2019-04-01,남자,206,239,231,-8,-25,-33,-0.033472803,-0.108225108,-0.138075314
3550,2019,부산,영도구,2620000000,초등학교,2019-04-01,전체,645,702,691,-11,-46,-57,-0.015669516,-0.066570188,-0.081196581
3551,2019,부산,영도구,2620000000,초등학교,2019-04-01,여자,297,340,331,-9,-34,-43,-0.026470588,-0.102719033,-0.126470588
3552,2019,부산,영도구,2620000000,초등학교,2019-04-01,남자,348,362,360,-2,-12,-14,-0.005524862,-0.033333333,-0.038674033
3553,2019,부산,부산진구,2623000000,초등학교,2019-04-01,전체,2739,2716,2653,-63,86,23,-0.023195876,0.032416133,0.008468336
3554,2019,부산,부산진구,2623000000,초등학교,2019-04-01,여자,1353,1359,1333,-26,20,-6,-0.019131714,0.015003751,-0.004415011
3555,2019,부산,부산진구,2623000000,초등학교,2019-04-01,남자,1386,1357,1320,-37,66,29,-0.027266028,0.05,0.021370671
3556,2019,부산,동래구,2626000000,초등학교,2019-04-01,전체,2225,2194,2171,-23,54,31,-0.010483136,0.02487333,0.014129444
3557,2019,부산,동래구,2626000000,초등학교,2019-04-01,여자,1058,1056,1046,-10,12,2,-0.009469697,0.011472275,0.001893939
