,시도,행정구역,평균,최대,최소,표준편차,표준편차 보정값,최대 - 최소,평균 * 표준편차 보정값,,
138,서울,마포구,-15.64651993,-9.4291212,-20.4081633,3.20669475,0.048200706,10.9790421,-0.75417331,,
139,서울,서대문구,-2.940034163,6.271777,-9.137931,3.950598655,0.066607808,15.409708,-0.195829231,,
140,서울,서초구,-6.096649207,2.4986709,-11.8340405,4.46978126,0.079454423,14.3327114,-0.484405746,,
141,서울,성동구,-14.48916944,-8.6792453,-24.669967,5.11350809,0.095382751,15.9907217,-1.382016842,,
142,서울,성북구,-4.788657341,0.3929273,-9.3736312,2.863131188,0.039699595,9.7665585,-0.190107759,,
143,서울,송파구,-7.549618774,-1.8446258,-12.8571429,3.152114795,0.046850184,11.0125171,-0.353701028,,
144,서울,양천구,-0.209019081,6.7753439,-5.6325436,3.360476072,0.05200586,12.4078875,-0.010870217,,
145,서울,영등포구,-18.59955884,-10.7466853,-26.0971328,4.909723805,0.090340328,15.3504475,-1.68029025,,
146,서울,용산구,-25.57397434,-18.0722892,-31.2280702,3.28483203,0.050134129,13.155781,-1.282128931,,
147,서울,은평구,-6.721399707,-0.7407407,-16.1104718,3.904847334,0.065475741,15.3697311,-0.440088625,,
148,서울,종로구,-5.382691411,4.0089087,-13.9954853,4.463954584,0.079310248,18.004394,-0.426902592,,
149,서울,중구,4.93820597,15.8690176,-5.6838366,6.393852847,0.127063505,21.5528542,0.627465758,,
150,서울,중랑구,-13.44410205,-7.7076412,-18.0882353,2.773598808,0.037484213,10.3805941,-0.503941585,,
151,세종,세종시,50.5076856,136.2464183,8.6589698,41.67267463,1,127.5874485,50.5076856,,
152,울산,남구,-6.208420281,-2.0304569,-13.4776536,2.769059967,0.037371904,11.4471967,-0.232020488,,
153,울산,동구,-6.46082287,0.656168,-14.511041,3.918681171,0.065818044,15.167209,-0.425238726,,
154,울산,북구,-0.118633078,8.7994034,-9.5709571,5.301237266,0.100027908,18.3703605,-0.011866619,,
155,울산,울주군,1.936080178,9.7933513,-3.1465093,3.278881681,0.049986894,12.9398606,0.096778635,,
156,울산,중구,-1.695909148,11.679644,-11.6134061,6.76981734,0.136366342,23.2930501,-0.231264926,,
157,인천,강화군,4.555286011,17.032967,-9.69163,8.5499116,0.180412859,26.724597,0.821832174,,
158,인천,계양구,-8.595889381,-2.9585799,-12.358804,2.713839332,0.036005529,9.4002241,-0.309499545,,
159,인천,남동구,-5.592073293,0.7311129,-13.7231504,3.216358725,0.048439831,14.4542633,-0.270879084,,
160,인천,동구,7.541539796,21.3438735,-1.9444444,6.621474631,0.132695761,23.2883179,1.000730362,,
161,인천,미추홀구,-13.14401623,-3.9647577,-18.9692982,3.953693529,0.066684387,15.0045405,-0.876500671,,
162,인천,부평구,-9.43670883,-2.1231423,-14.9337615,3.638570364,0.058887004,12.8106192,-0.555699507,,
163,인천,서구,-1.230817415,9.717608,-10.8980827,6.088920672,0.119518286,20.6156907,-0.147105188,,
164,인천,연수구,13.86401821,23.4811166,8.9793282,3.710872956,0.060676054,14.5017884,0.841213911,,
165,인천,옹진군,-18.99467784,5.0847458,-38.7096774,8.81510742,0.186974845,43.7944232,-3.551526937,,
166,인천,중구,19.52465471,42.7061311,1.7405063,10.79650445,0.236002383,40.9656248,4.607865034,,
167,전남,강진군,-20.80247295,-7.6923077,-37.6470588,6.152242091,0.121085107,29.9547511,-2.518869654,,
168,전남,고흥군,-5.449550585,5.3333333,-15.8974359,4.994835591,0.092446328,21.2307692,-0.50379094,,
169,전남,곡성군,-11.74148511,1.2195122,-25,6.74578565,0.135771703,26.2195122,-1.594161434,,
170,전남,광양시,-5.289452433,0.6877579,-13.1953428,3.401678898,0.053025379,13.8831007,-0.280475221,,
171,전남,구례군,-3.927026281,17.8082192,-24.3589744,10.67070984,0.232889731,42.1671936,-0.914564092,,
172,전남,나주시,8.189140822,43.0278884,-9.8786828,15.95120193,0.363549827,52.9065712,2.977160728,,
173,전남,담양군,-13.27924961,6.4516129,-24.6153846,7.54545724,0.155558717,31.0669975,-2.065703029,,
174,전남,목포시,5.98518157,12.392755,-0.8912656,3.518172613,0.055907891,13.2840206,0.334618878,,
175,전남,무안군,-5.896295152,10.5515588,-15.4761905,7.935235374,0.165203357,26.0277493,-0.974087755,,
176,전남,보성군,-24.82933904,-15.942029,-31.3513514,4.086407106,0.069968242,15.4093224,-1.737265205,,
177,전남,순천시,5.187096659,10.997815,-1.4206788,3.371702401,0.052283643,12.4184938,0.27120031,,
178,전남,신안군,-25.621913,-13.0434783,-38.7931034,8.019873692,0.167297641,25.7496251,-4.286485615,,
179,전남,여수시,-3.447875904,3.990228,-9.3023256,3.344048377,0.051599374,13.2925536,-0.177908238,,
180,전남,영광군,-8.350555852,5.4945055,-21.4285714,6.766366918,0.136280965,26.9230769,-1.138021808,,
181,전남,영암군,-16.39469983,-4.587156,-26.5917603,5.476686657,0.104369214,22.0046043,-1.711101935,,
182,전남,완도군,-5.0620994,6.6666667,-21.9387755,7.897260912,0.16426372,28.6054422,-0.831519279,,
183,전남,장성군,-3.546111793,12.6666667,-21.5909091,7.5860615,0.156563425,34.2575758,-0.555191409,,
184,전남,장흥군,-1.977715696,15.2380952,-17.2932331,8.780713442,0.186123803,32.5313283,-0.368099966,,
185,전남,진도군,-10.05270541,14.8148148,-30.8333333,11.01551557,0.241421577,45.6481481,-2.426939997,,
186,전남,함평군,-20.84504714,-7.6190476,-33.6956522,6.952327054,0.140882348,26.0766046,-2.936699192,,
187,전남,해남군,-9.812786563,0.8403361,-20.9558824,6.594637465,0.132031704,21.7962185,-1.295598933,,
188,전남,화순군,-6.752746985,8.5227273,-14.6031746,5.988283352,0.117028124,23.1259019,-0.790261311,,
189,전북,고창군,-2.888160152,18.4931507,-19.3370166,8.053062017,0.168118851,37.8301673,-0.485554166,,
190,전북,군산시,-2.988664004,0.7304602,-8.0450523,2.059886306,0.019824165,8.7755125,-0.059247768,,
191,전북,김제시,0.430129222,18.2926829,-10.1214575,5.9965146,0.117231797,28.4141404,0.050424822,,
192,전북,남원시,-0.705239759,8.0996885,-10.5802048,4.460608548,0.079227454,18.6798933,-0.055874351,,
193,전북,무주군,-4.77627773,22.7272727,-25,12.203678,0.270821378,47.7272727,-1.293518118,,
194,전북,부안군,-7.02286977,11.6129032,-21.3017751,6.481841606,0.129240692,32.9146783,-0.907640549,,
195,전북,순창군,-10.33168204,13.0434783,-26.25,9.025475152,0.192180168,39.2934783,-1.98554439,,
196,전북,완주군,-11.27860653,6.2639821,-25.1984127,10.2403432,0.222240771,31.4623948,-2.506566209,,
197,전북,익산시,-2.506208944,2.15311,-11.0084034,3.424695428,0.053594898,13.1615134,-0.134320014,,
198,전북,임실군,-11.96351489,2.6315789,-39.1752577,9.31909428,0.199445457,41.8068366,-2.386068699,,
199,전북,장수군,-6.500409411,21.7948718,-21.25,11.04518931,0.242155822,43.0448718,-1.574111985,,
200,전북,전주시,2.660493219,6.5926893,-4.8525799,3.110140305,0.04581157,11.4452692,0.121881372,,
201,전북,정읍시,-1.489103741,8.6956522,-14.3167028,6.233217988,0.123088768,23.012355,-0.183291945,,
202,전북,진안군,-17.55382813,5.1948052,-29.8969072,8.006258214,0.166960741,35.0917124,-2.930800154,,
203,제주,서귀포시,0.510303185,10.5263158,-9.8820059,6.277650347,0.124188199,20.4083217,0.063373633,,
204,제주,제주시,3.906581289,9.2563904,-1.5466015,2.757384036,0.037082996,10.8029919,0.144867738,,
205,충남,계룡시,-3.327064219,9.7560976,-18.1434599,7.564638547,0.156033338,27.8995575,-0.519132934,,
206,충남,공주시,-4.352711926,14.028777,-15.4488518,5.883805612,0.114442935,29.4776288,-0.498137126,,
207,충남,금산군,-2.933393167,10.952381,-15.7894737,6.772710547,0.136437931,26.7418547,-0.400226095,,
208,충남,논산시,1.862653681,9.4017094,-4.7297297,3.088868592,0.045285225,14.1314391,0.08435069,,
209,충남,당진시,-2.667265971,3.9325843,-7.7090119,3.353106872,0.051823517,11.6415962,-0.138227102,,
210,충남,보령시,-3.294659244,6,-11.7391304,4.309256928,0.075482421,17.7391304,-0.248688857,,
211,충남,부여군,-3.848727085,8.7179487,-14.2857143,5.844474369,0.113469725,23.003663,-0.436714005,,
212,충남,서산시,-1.409073759,3.7831021,-7.2025052,3.17048351,0.047304698,10.9856073,-0.066655809,,
213,충남,서천군,-5.5624648,1.3513514,-17.9012346,5.107597936,0.095236511,19.252586,-0.529749738,,
214,충남,아산시,-5.221390707,3.8894575,-10.1580135,2.78079081,0.037662171,14.047471,-0.196648911,,
215,충남,예산군,0.097563778,19.047619,-16.0305344,8.603374781,0.181735748,35.0781534,0.017730826,,
216,충남,천안시,1.35086447,7.0490868,-3.7648613,2.842761832,0.039195578,10.8139481,0.052947913,,
217,충남,청양군,-8.914654744,7.6086957,-23.7623762,7.449763071,0.153190867,31.3710719,-1.365643693,,
218,충남,태안군,-0.824125341,21.3017751,-11.6022099,6.687572934,0.134331292,32.903985,-0.110705822,,
