"","연도","시도","행정구역","학제","date.x","성별","학생수","인구수_2년전_4세","인구수_1년전_5세","4세대비5세변동치","5세대비1학년변동치","4세대비1학년변동치","4세대비5세변동률","5세대비1학년변동률","4세대비1학년변동률","전체인구","n_2","n_1","n_2_diff","n_1_diff","n_2_diff_rate","n_1_diff_rate"
"108","2021","부산","금정구","초등학교",2021-04-01,"남자",803,817,808,-9,-5,-14,-0.011015911872705,-0.00618811881188119,-0.0171358629130967,230204,241986,236904,-11782,-6700,-0.0486887671187589,-0.0282814979907473
"109","2021","부산","강서구","초등학교",2021-04-01,"전체",2176,2140,2188,48,-12,36,0.0224299065420561,-0.00548446069469835,0.0168224299065421,139652,126333,131235,13319,8417,0.105427718806646,0.064136853735665
"110","2021","부산","강서구","초등학교",2021-04-01,"여자",1058,1036,1054,18,4,22,0.0173745173745174,0.00379506641366224,0.0212355212355212,139652,126333,131235,13319,8417,0.105427718806646,0.064136853735665
"111","2021","부산","강서구","초등학교",2021-04-01,"남자",1118,1104,1134,30,-16,14,0.0271739130434783,-0.0141093474426808,0.0126811594202899,139652,126333,131235,13319,8417,0.105427718806646,0.064136853735665
"112","2021","부산","연제구","초등학교",2021-04-01,"전체",1550,1665,1662,-3,-112,-115,-0.0018018018018018,-0.0673886883273165,-0.0690690690690691,206979,209712,210086,-2733,-3107,-0.0130321583886473,-0.0147891815732605
"113","2021","부산","연제구","초등학교",2021-04-01,"여자",772,825,826,1,-54,-53,0.00121212121212121,-0.0653753026634383,-0.0642424242424242,206979,209712,210086,-2733,-3107,-0.0130321583886473,-0.0147891815732605
"114","2021","부산","연제구","초등학교",2021-04-01,"남자",778,840,836,-4,-58,-62,-0.00476190476190476,-0.069377990430622,-0.0738095238095238,206979,209712,210086,-2733,-3107,-0.0130321583886473,-0.0147891815732605
"115","2021","부산","수영구","초등학교",2021-04-01,"전체",1015,1117,1153,36,-138,-102,0.0322291853178156,-0.11968777103209,-0.0913160250671441,176276,175744,176984,532,-708,0.00302713037144938,-0.00400036161460923
"116","2021","부산","수영구","초등학교",2021-04-01,"여자",493,561,567,6,-74,-68,0.0106951871657754,-0.130511463844797,-0.121212121212121,176276,175744,176984,532,-708,0.00302713037144938,-0.00400036161460923
"117","2021","부산","수영구","초등학교",2021-04-01,"남자",522,556,586,30,-64,-34,0.0539568345323741,-0.109215017064846,-0.0611510791366906,176276,175744,176984,532,-708,0.00302713037144938,-0.00400036161460923
"118","2021","부산","사상구","초등학교",2021-04-01,"전체",1177,1519,1440,-79,-263,-342,-0.0520078999341672,-0.182638888888889,-0.225148123765635,210943,221994,216507,-11051,-5564,-0.0497806247015685,-0.0256989381405682
"119","2021","부산","사상구","초등학교",2021-04-01,"여자",583,772,729,-43,-146,-189,-0.055699481865285,-0.200274348422497,-0.244818652849741,210943,221994,216507,-11051,-5564,-0.0497806247015685,-0.0256989381405682
"120","2021","부산","사상구","초등학교",2021-04-01,"남자",594,747,711,-36,-117,-153,-0.0481927710843374,-0.164556962025316,-0.204819277108434,210943,221994,216507,-11051,-5564,-0.0497806247015685,-0.0256989381405682
